Ù.Ø.Ø..Ø.Ù.Ø¹Ù.Ø.,Ø.Ù.Ø.Ø.Ù.Ø.,Ø.Ù.Ø.Ù.Ø.Ø.,Ø.Ù.Ù.Ø.Ù.Ù.Ø¹,X,Laghouat...3.,X.1,X.2,page,Groupe,Group,Tizi.Ouzou..15.,Skikda,X.21.,Mostaganem.27.,Illizi,X.33.,El.Oued...39.,Naama...45.
80-84 ans,NA,NA,NA,882,NA,688,1571,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85 ans &  +,NA,NA,NA,530,NA,529,1060,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ND,NA,NA,NA,27,NA,47,74,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Total,NA,NA,NA,149434,NA,145042,294476,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,Ø§Ù„Ø°Ø¢ÙˆØ±,NA,Ø§Ù„Ø¥Ù†Ø§Ø«,Ø§Ù„Ù…Ø¬Ù…ÙˆØ¹,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Groupe,NA,NA,NA,,NA,,,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,Masculin,NA,FÃ©minin,Total,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dâ€™Ã¢ge,NA,NA,NA,,NA,,,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0-4 Ans,NA,NA,NA,20143,NA,18757,38900,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-9 ans,NA,NA,NA,18261,NA,17350,35612,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10-14 ans,NA,NA,NA,20531,NA,19801,40332,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15-19 ans,NA,NA,NA,22193,NA,21238,43430,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20-24 ans,NA,NA,NA,22221,NA,21599,43820,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25-29 ans,NA,NA,NA,19271,NA,19213,38483,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30-34 ans,NA,NA,NA,14489,NA,14857,29346,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35-39 ans,NA,NA,NA,11759,NA,12314,24073,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40-44 ans,NA,NA,NA,11073,NA,11092,22164,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45-49 ans,NA,NA,NA,8503,NA,9020,17523,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50-54ans,NA,NA,NA,7465,NA,7487,14952,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55-59 ans,NA,NA,NA,6300,NA,5766,12066,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60-64 ans,NA,NA,NA,3370,NA,3394,6764,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65-69 ans,NA,NA,NA,3336,NA,3229,6565,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70-74 ans,NA,NA,NA,2577,NA,2531,5108,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-79 ans,NA,NA,NA,2148,NA,1881,4030,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80-84 ans,NA,NA,NA,1046,NA,918,1964,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85 ans &  +,NA,NA,NA,754,NA,652,1406,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ND,NA,NA,NA,62,NA,83,145,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Total,NA,NA,NA,195502,NA,191182,386683,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,Ø§Ù„Ø°Ø¢ÙˆØ±,NA,Ø§Ù„Ø¥Ù†Ø§Ø«,Ø§Ù„Ù…Ø¬Ù…ÙˆØ¹,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Groupe,NA,NA,NA,,NA,,,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,Masculin,NA,FÃ©minin,Total,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dâ€™Ã¢ge,NA,NA,NA,,NA,,,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0-4 Ans,NA,NA,NA,30051,NA,28453,58504,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-9 ans,NA,NA,NA,24237,NA,22980,47217,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0-14 ans,NA,NA,NA,26917,NA,26032,52949,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-19 ans,NA,NA,NA,30649,NA,29831,60480,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0-24 ans,NA,NA,NA,31552,NA,31366,62918,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-29 ans,NA,NA,NA,29398,NA,28922,58320,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0-34 ans,NA,NA,NA,24492,NA,24623,49114,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-39 ans,NA,NA,NA,22328,NA,22227,44555,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0-44 ans,NA,NA,NA,19686,NA,19692,39377,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-49 ans,NA,NA,NA,14420,NA,14061,28481,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50-54ans,NA,NA,NA,12281,NA,11799,24080,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-59 ans,NA,NA,NA,9690,NA,8760,18450,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0-64 ans,NA,NA,NA,6769,NA,6669,13438,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-69 ans,NA,NA,NA,5856,NA,5668,11524,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0-74 ans,NA,NA,NA,4630,NA,4631,9261,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-79 ans,NA,NA,NA,3094,NA,3124,6218,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0-84 ans,NA,NA,NA,1494,NA,1529,3023,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ans &  +,NA,NA,NA,909,NA,1096,2005,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ND,NA,NA,NA,433,NA,662,1094,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Total,NA,NA,NA,298885,NA,292125,591010,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,Ø§Ù„Ø°Ø¢ÙˆØ±,NA,Ø§Ù„Ø¥Ù†Ø§Ø«,Ø§Ù„Ù…Ø¬Ù…ÙˆØ¹,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Groupe,NA,NA,NA,,NA,,,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,Masculin,NA,FÃ©minin,Total,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dâ€™Ã¢ge,NA,NA,NA,,NA,,,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0-4 Ans,NA,NA,NA,37192,NA,35509,72701,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-9 ans,NA,NA,NA,32225,NA,31184,63409,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10-14 ans,NA,NA,NA,40473,NA,38886,79360,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15-19 ans,NA,NA,NA,46635,NA,45842,92477,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20-24 ans,NA,NA,NA,45801,NA,44555,90357,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25-29 ans,NA,NA,NA,37709,NA,36601,74309,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30-34 ans,NA,NA,NA,28670,NA,28796,57466,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35-39 ans,NA,NA,NA,22947,NA,23635,46582,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40-44 ans,NA,NA,NA,21232,NA,21716,42948,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45-49 ans,NA,NA,NA,18908,NA,19307,38215,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50-54ans,NA,NA,NA,14836,NA,14891,29726,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55-59 ans,NA,NA,NA,11829,NA,11356,23185,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60-64 ans,NA,NA,NA,8274,NA,8284,16558,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65-69 ans,NA,NA,NA,6768,NA,7108,13876,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70-74 ans,NA,NA,NA,5756,NA,5432,11188,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-79 ans,NA,NA,NA,3847,NA,3712,7559,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80-84 ans,NA,NA,NA,2095,NA,1955,4050,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85 ans &  +,NA,NA,NA,1314,NA,1377,2691,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ND,NA,NA,NA,79,NA,149,228,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Total,NA,NA,NA,386591,NA,380295,766886,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,ÙØ¦Ø© Ø§Ù„Ø¹Ù…Ø±,NA,,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,,NA,Ø§Ù„Ù…Ø¬Ù…ÙˆØ¹,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ø§Ù„Ø¥Ù†Ø§Ø« Ø§Ù„Ø°Ø¢ÙˆØ±
NA,NA,NA,NA,Groupe,NA,,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,,NA,Total,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,Masculin FÃ©minin
NA,NA,NA,NA,dâ€™Ã¢ge,NA,,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,0-4 Ans,NA,21753,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,11107 10645
NA,NA,NA,NA,5-9 ans,NA,18664,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,9507 9157
NA,NA,NA,NA,10-14 ans,NA,18752,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,9560 9193
NA,NA,NA,NA,15-19 ans,NA,19306,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,9807 9500
NA,NA,NA,NA,20-24 ans,NA,20336,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,10079 10257
NA,NA,NA,NA,25-29 ans,NA,19948,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,9912 10036
NA,NA,NA,NA,30-34 ans,NA,16626,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,8530 8096
NA,NA,NA,NA,35-39 ans,NA,13764,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,7079 6685
NA,NA,NA,NA,40-44 ans,NA,10721,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,5472 5249
NA,NA,NA,NA,45-49 ans,NA,7957,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,4139 3818
NA,NA,NA,NA,50-54ans,NA,7025,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,3541 3484
NA,NA,NA,NA,55-59 ans,NA,4675,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,2449 2225
NA,NA,NA,NA,60-64 ans,NA,3401,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1745 1656
NA,NA,NA,NA,65-69 ans,NA,3696,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013 1683
NA,NA,NA,NA,70-74 ans,NA,2321,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1177 1144
NA,NA,NA,NA,75-79 ans,NA,1816,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,996 820
NA,NA,NA,NA,80-84 ans,NA,1158,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,647 511
NA,NA,NA,NA,85 ans &  +,NA,840,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,469 371
NA,NA,NA,NA,ND,NA,132,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,71 62
NA,NA,NA,NA,Total,NA,192891,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,98299 94592
NA,NA,NA,NA,Masculin,NA,FÃ©minin,Total,8,,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,,NA,,,8,dâ€™Ã¢ge,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,23781,NA,22083,45864,8,0-4 ans,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,20110,NA,19006,39116,8,5-9 ans,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,20190,NA,19035,39226,8,10-14 ans,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,19974,NA,19388,39362,8,15-19 ans,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,18994,NA,18643,37637,8,20-24 ans,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,16424,NA,16132,32556,8,25-29 ans,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,13068,NA,13019,26087,8,30-34 ans,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,11683,NA,11771,23454,8,35-39 ans,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,10387,NA,10220,20607,8,40-44 ans,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,8537,NA,8288,16824,8,45-49 ans,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,5908,NA,5747,11655,8,50-54ans,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,3864,NA,3802,7666,8,55-59 ans,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,3151,NA,2970,6121,8,60-64 ans,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,3001,NA,2859,5860,8,65-69 ans,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,2575,NA,2267,4842,8,70-74 ans,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,1746,NA,1376,3122,8,75-79 ans,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,890,NA,683,1573,8,80-84 ans,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,634,NA,686,1320,8,85 ans &  +,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,292,NA,414,705,8,ND,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,185209,NA,178390,363598,8,Total,NA,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,Ø§Ù„Ø°Ø¢ÙˆØ±,NA,Ø§Ù„Ø¥Ù†Ø§Ø«,Ø§Ù„Ù…Ø¬Ù…ÙˆØ¹,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Groupe,NA,NA,NA,,NA,,,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,Masculin,NA,FÃ©minin,Total,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dâ€™Ã¢ge,NA,NA,NA,,NA,,,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0-4 Ans,NA,NA,NA,39759,NA,37861,77620,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-9 ans,NA,NA,NA,33635,NA,32113,65748,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10-14 ans,NA,NA,NA,38932,NA,37133,76065,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15-19 ans,NA,NA,NA,45513,NA,44241,89754,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20-24 ans,NA,NA,NA,46201,NA,44819,91020,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25-29 ans,NA,NA,NA,39608,NA,38256,77864,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30-34 ans,NA,NA,NA,30155,NA,29544,59698,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35-39 ans,NA,NA,NA,24744,NA,25320,50064,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40-44 ans,NA,NA,NA,21147,NA,21353,42500,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45-49 ans,NA,NA,NA,15661,NA,16253,31914,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50-54ans,NA,NA,NA,14319,NA,13901,28220,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55-59 ans,NA,NA,NA,11430,NA,10496,21925,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60-64 ans,NA,NA,NA,7837,NA,7267,15104,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65-69 ans,NA,NA,NA,7033,NA,6423,13456,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70-74 ans,NA,NA,NA,5483,NA,5310,10793,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-79 ans,NA,NA,NA,3784,NA,3562,7346,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80-84 ans,NA,NA,NA,1995,NA,1761,3755,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85 ans &  +,NA,NA,NA,1197,NA,1216,2413,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ND,NA,NA,NA,345,NA,409,754,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Total,NA,NA,NA,388776,NA,377236,766013,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,Ø§Ù„Ø°Ø¢ÙˆØ±,NA,Ø§Ù„Ø¥Ù†Ø§Ø«,Ø§Ù„Ù…Ø¬Ù…ÙˆØ¹,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Groupe,NA,NA,NA,,NA,,,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,Masculin,NA,FÃ©minin,Total,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dâ€™Ã¢ge,NA,NA,NA,,NA,,,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0-4 Ans,NA,NA,NA,17996,NA,17181,35177,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-9 ans,NA,NA,NA,14738,NA,14072,28810,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10-14 ans,NA,NA,NA,15716,NA,15252,30969,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15-19 ans,NA,NA,NA,16284,NA,16018,32303,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20-24 ans,NA,NA,NA,17830,NA,17205,35035,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25-29 ans,NA,NA,NA,18482,NA,18083,36565,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30-34 ans,NA,NA,NA,16542,NA,16226,32768,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35-39 ans,NA,NA,NA,14625,NA,14407,29031,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40-44 ans,NA,NA,NA,13035,NA,13035,26070,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45-49 ans,NA,NA,NA,10377,NA,9985,20362,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50-54ans,NA,NA,NA,8862,NA,8444,17305,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55-59 ans,NA,NA,NA,7154,NA,6641,13795,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60-64 ans,NA,NA,NA,4788,NA,4861,9649,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65-69 ans,NA,NA,NA,4112,NA,4158,8270,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70-74 ans,NA,NA,NA,3286,NA,3407,6694,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-79 ans,NA,NA,NA,1921,NA,2300,4221,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80-84 ans,NA,NA,NA,1059,NA,1245,2304,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85 ans &  +,NA,NA,NA,618,NA,957,1575,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ND,NA,NA,NA,177,NA,159,335,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Total,NA,NA,NA,187603,NA,183636,371239,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Masculin,NA,FÃ©minin,Total,8,,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,,NA,,,8,dâ€™Ã¢ge,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,36021,NA,34763,70784,8,0-4 ans,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,30832,NA,29568,60400,8,5-9 ans,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,35931,NA,34714,70645,8,0-14 ans,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,41319,NA,40375,81694,8,5-19 ans,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,44701,NA,43855,88556,8,0-24 ans,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,38773,NA,37954,76727,8,5-29 ans,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,28901,NA,29108,58009,8,0-34 ans,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,22757,NA,23052,45809,8,5-39 ans,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,19834,NA,20238,40072,8,0-44 ans,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,16960,NA,17385,34345,8,5-49 ans,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,14233,NA,13594,27827,8,50-54ans,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,11124,NA,10545,21669,8,5-59 ans,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,6389,NA,6484,12873,8,0-64 ans,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,6239,NA,6191,12431,8,5-69 ans,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,5620,NA,5426,11046,8,0-74 ans,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,3782,NA,3548,7330,8,5-79 ans,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,1661,NA,1614,3276,8,0-84 ans,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,1078,NA,1243,2321,8,ans &  +,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,146,NA,222,367,8,ND,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,366301,NA,359879,726180,8,Total,NA,NA,NA,NA,NA,NA,NA,NA,NA
